conditions,relevant_property,sharpness,utterance_label,speaker_prob,variant,semantic_family,semantic_regime
brdc,both,blurred,C,0.18229252,current_context_fixed,current,context_fixed
brdc,both,blurred,CD,0.028261827,current_context_fixed,current,context_fixed
brdc,both,blurred,CDF,0.06591014,current_context_fixed,current,context_fixed
brdc,both,blurred,CF,0.035505302,current_context_fixed,current,context_fixed
brdc,both,blurred,CFD,0.017289931,current_context_fixed,current,context_fixed
brdc,both,blurred,D,0.105984755,current_context_fixed,current,context_fixed
brdc,both,blurred,DC,0.22268212,current_context_fixed,current,context_fixed
brdc,both,blurred,DCF,0.13824385,current_context_fixed,current,context_fixed
brdc,both,blurred,DF,0.059222788,current_context_fixed,current,context_fixed
brdc,both,blurred,DFC,0.04445088,current_context_fixed,current,context_fixed
brdc,both,blurred,F,0.048251446,current_context_fixed,current,context_fixed
brdc,both,blurred,FC,0.024888001,current_context_fixed,current,context_fixed
brdc,both,blurred,FCD,0.0068532177,current_context_fixed,current,context_fixed
brdc,both,blurred,FD,0.00645504,current_context_fixed,current,context_fixed
brdc,both,blurred,FDC,0.013708203,current_context_fixed,current,context_fixed
brdc,both,sharp,C,0.12902258,current_context_fixed,current,context_fixed
brdc,both,sharp,CD,0.024202466,current_context_fixed,current,context_fixed
brdc,both,sharp,CDF,0.056312557,current_context_fixed,current,context_fixed
brdc,both,sharp,CF,0.018059261,current_context_fixed,current,context_fixed
brdc,both,sharp,CFD,0.008965548,current_context_fixed,current,context_fixed
brdc,both,sharp,D,0.1261133,current_context_fixed,current,context_fixed
brdc,both,sharp,DC,0.26557252,current_context_fixed,current,context_fixed
brdc,both,sharp,DCF,0.17518473,current_context_fixed,current,context_fixed
brdc,both,sharp,DF,0.069885105,current_context_fixed,current,context_fixed
brdc,both,sharp,DFC,0.05242342,current_context_fixed,current,context_fixed
brdc,both,sharp,F,0.035213724,current_context_fixed,current,context_fixed
brdc,both,sharp,FC,0.014728379,current_context_fixed,current,context_fixed
brdc,both,sharp,FCD,0.004516173,current_context_fixed,current,context_fixed
brdc,both,sharp,FD,0.006343463,current_context_fixed,current,context_fixed
brdc,both,sharp,FDC,0.013456815,current_context_fixed,current,context_fixed
erdc,first,blurred,C,0.04982612,current_context_fixed,current,context_fixed
erdc,first,blurred,CD,0.01125982,current_context_fixed,current,context_fixed
erdc,first,blurred,CDF,0.02571215,current_context_fixed,current,context_fixed
erdc,first,blurred,CF,0.009462715,current_context_fixed,current,context_fixed
erdc,first,blurred,CFD,0.0047912193,current_context_fixed,current,context_fixed
erdc,first,blurred,D,0.13982695,current_context_fixed,current,context_fixed
erdc,first,blurred,DC,0.2154934,current_context_fixed,current,context_fixed
erdc,first,blurred,DCF,0.17012863,current_context_fixed,current,context_fixed
erdc,first,blurred,DF,0.16864346,current_context_fixed,current,context_fixed
erdc,first,blurred,DFC,0.12469373,current_context_fixed,current,context_fixed
erdc,first,blurred,F,0.03787952,current_context_fixed,current,context_fixed
erdc,first,blurred,FC,0.008580805,current_context_fixed,current,context_fixed
erdc,first,blurred,FCD,0.0032687967,current_context_fixed,current,context_fixed
erdc,first,blurred,FD,0.009611908,current_context_fixed,current,context_fixed
erdc,first,blurred,FDC,0.02082081,current_context_fixed,current,context_fixed
erdc,first,sharp,C,0.033046916,current_context_fixed,current,context_fixed
