left-right,id,missed_break_one,missed_break_two,missed_break_three,time_in_minutes,language,asses,age,gender,comments,fluent
S,626ed4e5300dd,True,False,False,19.42225,Deutsch,Confused,32,Female,"Mir war zuerst nicht klar, dass das Vokabular wie angegeben zu verwenden ist, ich hatte es nur als Beispiel verstanden. Ich bin Österreicherin und würde sagen ""großer blauer Stern-Aufkleber"", wobei eigenltich nicht ""Aufkleber"", aber egal. Erst später habe ich verstanden, dass ich das Wort ""sternförmig"" verwenden soll. :( ",Yes
L,626ed9b722cee,False,False,False,22.164566666666666,deutsch,Yes,30,Male,,Yes
L,626edab787b90,False,False,False,32.684,Deutsch,Yes,21,Female,,Yes
L,626edcc07de2c,False,False,False,34.20911666666667,deutsch,Yes,34,Female,,Yes
S,626ee2f6c50ba,False,False,False,29.00355,deutsch,Confused,35,Male,"ich bin mir unsicher bzgl. der Instrucktionen, da dort nicht gesagt wurde, wie viele Adjektive genannt werden müssen/dürfen. ",Yes
L,626ee39185df8,False,False,False,32.1268,Deutsch,Yes,29,Male,Ein Beispielsatz zur Beschreibung wäre hilfreich,Yes
S,626ee736c1908,False,False,False,38.087383333333335,Deutsch,Yes,32,Male,"Einige Formen konnten durch die möglichen Farben/Formen nicht 100% beschrieben werden. 
Tlw. habe ich auch andere Eigenschaften (idR große / kleine Formen) zur Beschreibung herangezogen, da mAn nicht in der Instruktion geschrieben wird, dass keine weiteren verwendet dürfen.
Sollte dies die Teilnahme zu sehr verfälschen bitte Ich darum die Ergebnisse nicht zu verwenden/ erwarte Ich auch keine Auszahlung.",Yes
S,626eec4126d0c,False,False,False,72.74841666666667,Deutsch,Yes,42,Female,,Yes
L,62751a9cc0c7c,False,False,False,23.071816666666667,deutsch,Yes,43,Male,,Yes
S,62751c4a2c50b,False,False,False,27.327866666666665,Deutsch,Yes,26,Male,"Die Syntax in der die Lücken auszufüllen sind, hätte genauer definiert werden können (wenn nicht vom Experiment so gewünscht).",Yes
